from_dbid,relation,to_dbid
DB01050,INTERACT,DB01349
DB01050,INTERACT,DB06763
DB01050,INTERACT,DB08822
DB01050,INTERACT,DB09279
DB01050,INTERACT,DB13919
DB01050,INTERACT,DB00178
DB01050,INTERACT,DB00492
DB01050,INTERACT,DB00519
DB01050,INTERACT,DB00542
DB01050,INTERACT,DB00584
DB01050,INTERACT,DB00691
DB01050,INTERACT,DB00722
DB01050,INTERACT,DB00790
DB01050,INTERACT,DB00881
DB01050,INTERACT,DB00886
DB01050,INTERACT,DB01180
DB01050,INTERACT,DB01197
DB01050,INTERACT,DB01340
DB01050,INTERACT,DB01348
DB01050,INTERACT,DB08836
DB01050,INTERACT,DB09477
DB01050,INTERACT,DB11783
DB01050,INTERACT,DB13166
DB01050,INTERACT,DB13312
DB01050,INTERACT,DB14125
DB01050,INTERACT,DB14207
DB01050,INTERACT,DB14208
DB01050,INTERACT,DB14209
DB01050,INTERACT,DB14210
DB01050,INTERACT,DB14213
DB01050,INTERACT,DB14217
DB01050,INTERACT,DB14231
DB01050,INTERACT,DB15565
DB01050,INTERACT,DB00218
DB01050,INTERACT,DB00467
DB01050,INTERACT,DB00487
DB01050,INTERACT,DB00685
DB01050,INTERACT,DB00779
DB01050,INTERACT,DB00817
DB01050,INTERACT,DB00827
DB01050,INTERACT,DB00978
DB01050,INTERACT,DB01044
DB01050,INTERACT,DB01155
DB01050,INTERACT,DB01165
DB01050,INTERACT,DB01405
DB01050,INTERACT,DB04576
DB01050,INTERACT,DB05488
DB01050,INTERACT,DB06160
DB01050,INTERACT,DB06600
DB01050,INTERACT,DB08972
DB01050,INTERACT,DB11404
DB01050,INTERACT,DB11443
DB01050,INTERACT,DB11491
DB01050,INTERACT,DB11511
DB01050,INTERACT,DB11774
DB01050,INTERACT,DB11892
DB01050,INTERACT,DB13261
DB01050,INTERACT,DB13627
DB01050,INTERACT,DB13772
DB01050,INTERACT,DB13823
DB01050,INTERACT,DB01059
DB01050,INTERACT,DB01208
DB01050,INTERACT,DB00282
DB01050,INTERACT,DB00399
DB01050,INTERACT,DB00710
DB01050,INTERACT,DB00720
DB01050,INTERACT,DB00884
DB01050,INTERACT,DB01077
